Account,Token Account,Quantity,Percentage
6FKe8F1NaAFob7UBvLPVdCwwhtogNoS4TsyRfwEQDSva,6EyxpSnfpBshsPhm1qPm9m3hkXpCqiFcHGqXaiZNRsSN,4272818.446821391,0.46
2daBXinfNJ62osKdmG6s6Uo6PnaKym5z7DF4eHGGA8D1,EMUa2soAk5XHD6ZQx2oi794YQaQsXVe96sS9NrG1j2cf,4157495.992137329,0.45
HYqMCUf24LCh2Q6BCvzTzePJ1tzMWUVCTjiJ86JYjEBv,9nKDXGKyeKgjKXkoTBtpJgKQpKfNQsBYLN1szvUtRhE3,4061001.854421476,0.44
4LRYAPMU8EeSR4CNWUzvtEV9s2o4RY14wtg2j2yR4RG2,4pcCgr4vCCtkxUZQiix5QBsQMQGg8UZ86ipn33hQ6GXw,3805064.688914279,0.41
3tUF7PKKByTfCJQYvwrBrEaCRL2j5n7KsU3D1iJW7DUq,2PEntxufGR6rugCM2myHN4tsxL5TMeeKYSPpDNf26jon,3516427.871422339,0.38
XawmkrNqHzFp4q3EXopAbXxcPjUHdymLTGTDmexhwBB,8639CEHuGgqBP3xLH4fhMX5ArTQ8rJkPH1nxaxx7fvhC,3400989.165408559,0.37
97HNDFwADuHceYYyzzESgrAY9EUxrWC5eZHLJLPVs7Ff,3vuTPDVQBinf63TyPLrjipK8Y6dmeisiwjPzA3WN2bTP,3360495.949081919,0.36
HkCbLth6pAzZxRPgUddhU9mjzw6pgmUrDyAGTLRcQT2Z,EzSBd8w4XDcswENTevm7vWuakB1xRhraca6gA2NNHLSX,3335344.713070208,0.36
95jYA5TdJTkhdXiPecxcjFrkksjfEQey8ZD3CTmfz5VS,FbzbVkAWEmxV6aJK989LNTZbbpmA6Dts68fT74yygj8L,3028695.914092351,0.33
48jP7ynu3AjEiV7Tvg2k8QUReJoRDEq3moz6yBN6zpcm,8Wfye4KwozCJXntvbj8rJFR4irtceuukEg1BpS5yPxQS,2690086.165121954,0.29
6bBqUAVwbDskwE2oBsnyHmRXESUNHHCjZ51TzWRwehhH,4JZFeahMsVajZiLmGT8FoM8V8bSWrAG38CekARBo2gjc,2684612.200960597,0.29
Hh2jhMUYp7opjLNSZbppJhA3Zncq1AT41jYfihvtjFJj,72HDWMAojCsqKUabjXhfb1Vkx6AfVmWMnuoJSAfoadgG,2621785.081845691,0.28
EhqU36n9bq1CA9AyGJUCurnZw7NBp6srSJUKWmsWfibe,GQSNanXAcpqCrB1M1sxv5bGcmLFAp354YjCTyotMG5Vy,2516318.69880758,0.27
Hq1QKhzC4ZkW6eegxJttTYPCArvArjnsVV7av5ekKyHv,JDbCrYohUFiYW2doF4wWf7MPdMo1XFArmbqJ4s2cvC2r,2514672.898447783,0.27
7RVW25N7HTqPye3GVm5vC1JHbhV4S4VLVwpcpNwbQkK6,4jcEThCW1FvuiUYSMKdogexQA2VQ2xgKxXXNDvqHcwHq,2358336.851245015,0.26
9aEiQ34usEMG6dLYc9f1aQzD5SdmcTs6GHDpCMhYcBxA,2hUWpk1kG5g4a263CqhM256FKqNup9EVhKaC3MgAfKvF,2352972.883358275,0.26
8wEopRtg7V6cWc7CzQyutWrKqoS4VLKLqme2KFcVEiDn,Dgsr657yde7pyyPbYxwLRb4TZP8GaKUz1cC3JP5r6m9o,2337848.155977794,0.25
